Date,Time,BearID,SD,PrevAC_Month,Sex,DistCover,Bear response to researcher,RXN to researchers,BearReactionSage,ProjectileType,Whistle
2007-06-04,15:31:00,BF01,NA,0,Female,10,yes,Leave_walk,Leave_Walk,None,No
2007-08-08,21:44:00,BF01,NA,0,Female,0,yes,Leave_run,DNR,None,No
2007-08-11,13:16:00,BF01,NA,1,Female,10,delayed,Leave_walk,DNR,None,No
2007-05-30,20:53:00,BF02,NA,0,Female,0,n/a,DNR,NoDisplacement,None,No
2007-06-08,13:52:00,BF02,NA,1,Female,10,yes,Wary,Leave_Walk,None,No
2007-06-23,17:23:00,BF02,72,1,Female,26,delayed,Leave_run,Leave_Run,None,No
2007-08-15,8:13:00,BF02,NA,0,Female,0,no,DNR,DNR,None,No
2007-06-01,17:49:00,BF04,NA,0,Female,DNR,,DNR,DNR,None,No
2007-06-03,8:35:00,BF04,46,1,Female,5,yes,Leave_run,Leave_Run,None,No
2007-06-07,17:00:00,BF04,NA,2,Female,DNR,yes,Wary,DNR,None,No
2007-06-21,20:00:00,BF04,NA,3,Female,DNR,no,Indifferent,DNR,None,No
2007-08-23,15:00:00,BF04,NA,0,Female,DNR,no,Indifferent,DNR,None,No
2007-05-10,10:30:00,BF05,NA,0,Female,1,no,DNR,NoDisplacement,None,No
2007-05-30,20:00:00,BF05,218,1,Female,20,yes,Wary,NoDisplacement,None,No
2007-06-23,17:39:00,BF05,26,1,Female,30,delayed,Leave_run,Leave_Run,None,No
2007-07-01,16:28:00,BF05,76,1,Female,40,yes,Approach,NoDisplacement,None,No
2007-07-24,14:00:00,BF05,10,1,Female,5,no,Indifferent,NoDisplacement,Gun,No
2007-07-25,11:45:00,BF05,NA,2,Female,20,n/a,DNR,DNR,None,No
2007-08-12,13:30:00,BF05,NA,2,Female,0,n/a,DNR,DNR,Gun,No
2007-08-19,15:48:00,BF05,NA,3,Female,DNR,delayed,Indifferent,DNR,Gun,No
2007-08-22,,BF05,NA,4,Female,DNR,n/a,DNR,DNR,None,No
2007-08-23,9:00:00,BF05,NA,5,Female,0,n/a,DNR,DNR,Gun,No
2007-08-27,9:50:00,BF05,NA,4,Female,DNR,delayed,Indifferent,DNR,None,No
2007-09-03,6:56:00,BF05,NA,5,Female,DNR,immediate,Wary,DNR,None,No
2007-09-03,10:10:00,BF05,NA,6,Female,DNR,immediate,Leave_walk,DNR,Gun,No
2007-10-05,3:40:00,BF05,NA,0,Female,DNR,,DNR,DNR,None,No
2007-10-07,20:39:00,BF05,NA,1,Female,0,yes,Leave_walk,DNR,Slingshot,No
