Bear ID,Time,Period,Treatment,PropDev,DistDev
F04 ,Pre,day  ,AC     ,0,2099.869141
F04 ,Pre,day  ,AC     ,0,2031.317261
F04 ,Pre,day  ,AC     ,0,2099.869141
F04 ,Pre,day  ,AC     ,0,2073.505371
F04 ,Pre,day  ,AC     ,0,1821.1604
F04 ,Pre,day  ,AC     ,0,1773.421875
F04 ,Pre,day  ,AC     ,0,1825
F04 ,Pre,day  ,AC     ,0,1587.458618
F04 ,Pre,day  ,AC     ,0,1587.458618
F04 ,Pre,day  ,AC     ,0,1504.800659
F04 ,Pre,day  ,AC     ,0,1389.829102
F04 ,Pre,day  ,AC     ,0,1100.011353
F04 ,Pre,day  ,AC     ,0,796.0056763
F04 ,Pre,day  ,AC     ,0,700.3570557
F04 ,Pre,day  ,AC     ,0,700.3570557
F04 ,Pre,day  ,AC     ,0,796.0056763
F04 ,Pre,day  ,AC     ,0,940.0133057
F04 ,Pre,day  ,AC     ,0,856.7671509
F04 ,Pre,day  ,AC     ,0,938.0964966
F04 ,Pre,day  ,AC     ,0,1004.800964
F04 ,Pre,day  ,AC     ,0,1137.013672
F04 ,Pre,day  ,AC     ,0,1244.507935
F04 ,Pre,day  ,AC     ,0,1497.414429
F04 ,Pre,day  ,AC     ,0,1377.624756
F04 ,Pre,day  ,AC     ,0,1375.009033
F04 ,Pre,day  ,AC     ,0,1250.01001
F04 ,Pre,day  ,AC     ,0,1125.011108
F04 ,Pre,day  ,AC     ,0,1125.011108
F04 ,Pre,day  ,AC     ,0,775.1451416
F04 ,Pre,night,AC     ,0,682.8067017
F04 ,Pre,night,AC     ,0,689.4381714
F04 ,Pre,night,AC     ,0,689.5106812
F04 ,Pre,night,AC     ,0,686.0393677
F04 ,Pre,night,AC     ,0,685.9300537
F04 ,Pre,night,AC     ,0,685.9300537
F04 ,Pre,night,AC     ,0,678.9697876
F04 ,Pre,night,AC     ,0,2456.425293
F05 ,Pre,day  ,control,0,584.5725098
F05 ,Pre,day  ,control,0,584.5725098
F05 ,Pre,day  ,control,0,648.5560913
F05 ,Pre,day  ,control,0,648.5560913
F05 ,Pre,day  ,control,0,648.5560913
F05 ,Pre,day  ,control,0,648.5560913
F05 ,Pre,day  ,control,0,648.5560913
F05 ,Pre,day  ,control,0,648.5560913
F05 ,Pre,day  ,control,0,648.5560913
F05 ,Pre,day  ,control,0,648.5560913
F05 ,Pre,day  ,control,0,1699.448486
F05 ,Pre,day  ,control,0,1935.800903
F05 ,Pre,day  ,control,0,1935.800903
F05 ,Pre,day  ,control,0,1856.91272
F05 ,Pre,day  ,control,0,1856.91272
F05 ,Pre,day  ,control,0,1856.91272
F05 ,Pre,day  ,control,0,1856.91272
F05 ,Pre,day  ,control,0,1856.91272
F05 ,Pre,day  ,control,0,1856.91272
F05 ,Pre,day  ,control,0,1839.836914
F05 ,Pre,day  ,control,0,1839.836914
F05 ,Pre,day  ,control,0,1839.836914
F05 ,Pre,day  ,control,0,1839.836914
F05 ,Pre,day  ,control,0,1856.91272
F05 ,Pre,day  ,control,0,1030.109253
F05 ,Pre,day  ,control,0,801.4517822
F05 ,Pre,day  ,control,0,489.0040894
F05 ,Pre,day  ,control,0,566.3258667
F05 ,Pre,day  ,control,0,355.5980835
F05 ,Pre,day  ,control,0,190.9188385
F05 ,Pre,night,control,0,648.2669067
F05 ,Pre,night,control,0,628.3709106
F05 ,Pre,night,control,0,648.2669067
F05 ,Pre,night,control,0,627.8734131
F05 ,Pre,night,control,0,631.5061646
F05 ,Pre,night,control,0,633.3442993
F05 ,Pre,night,control,0,648.2669067
F05 ,Pre,night,control,0,733.8426514
F05 ,Pre,night,control,0,1808.072144
F05 ,Pre,night,control,0,1803.468872
F05 ,Pre,night,control,0,1842.586548
F05 ,Pre,night,control,0,1848.742798
F10 ,Pre,day  ,control,0,287.793335
F10 ,Pre,day  ,control,0,287.793335
F10 ,Pre,day  ,control,0,287.793335
F10 ,Pre,day  ,control,0,287.793335
F10 ,Pre,day  ,control,0,287.793335
F10 ,Pre,day  ,control,0,287.793335
F10 ,Pre,day  ,control,0,287.793335
F10 ,Pre,day  ,control,0,137.2953033
F10 ,Pre,day  ,control,0,137.2953033
F10 ,Pre,day  ,control,0,147.0544128
F10 ,Pre,day  ,control,0,865.0144653
F10 ,Pre,day  ,control,0,865.0144653
F10 ,Pre,day  ,control,0,865.0144653
F10 ,Pre,day  ,control,0,865.0144653
F10 ,Pre,day  ,control,0,888.8334961
F10 ,Pre,day  ,control,0,756.3398438
F10 ,Pre,day  ,control,0,865.0144653
F10 ,Pre,day  ,control,0,865.0144653
F10 ,Pre,day  ,control,0,386.1670532
F10 ,Pre,day  ,control,0,479.0093994
F10 ,Pre,day  ,control,0,107.9351654
F10 ,Pre,day  ,control,0,190.5911865
F10 ,Pre,day  ,control,0,340.0367737
F10 ,Pre,day  ,control,0,245
F10 ,Pre,day  ,control,0,340.0367737
F10 ,Pre,day  ,control,0,340.0367737
F10 ,Pre,day  ,control,0,340.0367737
F10 ,Pre,day  ,control,0,280.4014893
F10 ,Pre,day  ,control,0,280.4014893
F10 ,Pre,day  ,control,0,126.1942978
F10 ,Pre,day  ,control,0,134.6291199
F10 ,Pre,day  ,control,0,570.8108521
F10 ,Pre,day  ,control,0,801.638916
F10 ,Pre,day  ,control,0,1166.81189
F10 ,Pre,night,control,0,245.1530151
F10 ,Pre,night,control,0,717.9484863
F10 ,Pre,night,control,0,1216.439453
F10 ,Pre,night,control,0,831.6549683
F10 ,Pre,night,control,0,839.4343262
F10 ,Pre,night,control,0,290.9037781
F10 ,Pre,night,control,0,298.4124756
F10 ,Pre,night,control,0,185.8090363
F12 ,Pre,day  ,control,0,213.6000977
F12 ,Pre,day  ,control,0,268.5609741
F12 ,Pre,day  ,control,0,213.6000977
F12 ,Pre,day  ,control,0,367.4914856
F12 ,Pre,day  ,control,0,245.9674835
F12 ,Pre,day  ,control,0,114.127121
F12 ,Pre,day  ,control,0,200.1249542
F12 ,Pre,day  ,control,0,278.6575012
F12 ,Pre,day  ,control,0,364.7259216
F12 ,Pre,day  ,control,0,296.8164368
F12 ,Pre,day  ,control,0,98.4885788
F12 ,Pre,day  ,control,0,245.9674835
F12 ,Pre,day  ,control,0,290.6888428
F12 ,Pre,day  ,control,0,143.0034943
F12 ,Pre,day  ,control,0,114.127121
F12 ,Pre,day  ,control,0,134.5362396
F13 ,Pre,day  ,AC     ,0,258.6986694
F13 ,Pre,day  ,AC     ,0,105.4751129
F13 ,Pre,day  ,AC     ,0,157.8765411
F13 ,Pre,day  ,AC     ,0,246.2214508
F13 ,Pre,day  ,AC     ,0,433.0415649
F13 ,Pre,day  ,AC     ,0,195
F13 ,Pre,day  ,AC     ,0,122.5765076
F13 ,Pre,day  ,AC     ,0,99.62429047
F13 ,Pre,day  ,AC     ,0,99.62429047
F13 ,Pre,day  ,AC     ,0,197.0406036
F13 ,Pre,day  ,AC     ,0,226.715683
F13 ,Pre,day  ,AC     ,0,195
F13 ,Pre,day  ,AC     ,0,165
F13 ,Pre,night,AC     ,0,251.0478058
F13 ,Pre,night,AC     ,0,251.0478058
F13 ,Pre,night,AC     ,0,239.2697296
F13 ,Pre,night,AC     ,0,259.8557434
F13 ,Pre,night,AC     ,0,259.8557434
F13 ,Pre,night,AC     ,0,236.9071503
M17 ,Pre,day  ,AC     ,0,192.9378204
M21 ,Pre,day  ,control,0,2380.257324
M21 ,Pre,day  ,control,0,2113.036865
M21 ,Pre,day  ,control,0,1306.723022
M21 ,Pre,day  ,control,0,451.0543213
M21 ,Pre,day  ,control,0,240.5202637
M21 ,Pre,day  ,control,0,395.7903442
M21 ,Pre,day  ,control,0,382.3937683
M21 ,Pre,day  ,control,0,141.4213562
M21 ,Pre,day  ,control,0,200.1249542
M21 ,Pre,day  ,control,0,120
M21 ,Pre,day  ,control,0,120.8304596
M21 ,Pre,day  ,control,0,275.3634033
M21 ,Pre,day  ,control,0,423.615387
M21 ,Pre,day  ,control,0,395.7903442
M21 ,Pre,day  ,control,0,253.0316162
M21 ,Pre,day  ,control,0,167.7050934
M21 ,Pre,day  ,control,0,246.829895
M21 ,Pre,day  ,control,0,475.2367859
M21 ,Pre,day  ,control,0,350.1785278
M21 ,Pre,day  ,control,0,365.5475464
M21 ,Pre,day  ,control,0,199.1230774
M21 ,Pre,day  ,control,0,187.9494629
M21 ,Pre,day  ,control,0,265.7536316
M21 ,Pre,day  ,control,0,386.9431458
M21 ,Pre,day  ,control,0,386.9431458
M21 ,Pre,day  ,control,0,322.6840515
M21 ,Pre,day  ,control,0,478.8789063
M21 ,Pre,day  ,control,0,322.6840515
M21 ,Pre,day  ,control,0,322.6840515
M21 ,Pre,day  ,control,0,191.6376801
M21 ,Pre,day  ,control,0,246.829895
M21 ,Pre,night,control,0,228.2542419
M21 ,Pre,night,control,0,223.4390259
M21 ,Pre,night,control,0,227.7059479
M21 ,Pre,night,control,0,229.4013977
M21 ,Pre,night,control,0,215.8703308
M21 ,Pre,night,control,0,237.6972809
M21 ,Pre,night,control,0,232.432785
M28 ,Pre,day  ,AC     ,0,226.715683
M28 ,Pre,day  ,AC     ,0,240.5202637
M28 ,Pre,day  ,AC     ,0,135.0925598
M28 ,Pre,night,AC     ,0,107.9351654
M28 ,Pre,night,AC     ,0,224.7220459
M28 ,Pre,night,AC     ,0,138.2931671
F04 ,Post,day  ,AC     ,0,192.9378204
F04 ,Post,day  ,AC     ,0,226.2741699
F04 ,Post,day  ,AC     ,0,151.3274536
F04 ,Post,day  ,AC     ,0,107.0046692
F04 ,Post,day  ,AC     ,0,109.6585617
F04 ,Post,day  ,AC     ,0,169.1892395
F04 ,Post,day  ,AC     ,0,226.2741699
F04 ,Post,day  ,AC     ,0,459.6194153
F04 ,Post,day  ,AC     ,0,901.5680542
F04 ,Post,day  ,AC     ,0,1137.013672
F04 ,Post,day  ,AC     ,0,1302.305664
F04 ,Post,day  ,AC     ,0,1644.878418
F04 ,Post,day  ,AC     ,0,1732.772339
F04 ,Post,day  ,AC     ,0,1504.800659
F04 ,Post,day  ,AC     ,0,1159.493408
F04 ,Post,day  ,AC     ,0,894.6647339
F04 ,Post,day  ,AC     ,0,713.3372192
F04 ,Post,night,AC     ,0,173.2772369
F04 ,Post,night,AC     ,0,159.1383057
F04 ,Post,night,AC     ,0,180.3468933
F04 ,Post,night,AC     ,0,176.7767029
F04 ,Post,night,AC     ,0,183.8477631
F04 ,Post,night,AC     ,0,180.3468933
F04 ,Post,night,AC     ,0,176.7767029
F04 ,Post,night,AC     ,0,753.6079712
F04 ,Post,night,AC     ,0,749.1661987
F04 ,Post,night,AC     ,0,746.8601074
F04 ,Post,night,AC     ,0,742.4284668
F04 ,Post,night,AC     ,0,760.3453369
F04 ,Post,night,AC     ,0,751.3321533
F04 ,Post,night,AC     ,0,760.3453369
F10 ,Post,day  ,control,0,838.6000366
F10 ,Post,day  ,control,0,573.1710205
F10 ,Post,day  ,control,0,573.1710205
F10 ,Post,day  ,control,0,573.1710205
F10 ,Post,day  ,control,0,573.1710205
F10 ,Post,day  ,control,0,573.1710205
F10 ,Post,day  ,control,0,625.8793945
F10 ,Post,day  ,control,0,756.3398438
F10 ,Post,day  ,control,0,1502.215088
F10 ,Post,day  ,control,0,765.27771
F10 ,Post,day  ,control,0,340.0367737
F10 ,Post,day  ,control,0,271.89151
F10 ,Post,day  ,control,0,271.89151
F10 ,Post,day  ,control,0,286.9233398
F10 ,Post,day  ,control,0,268.7936096
F10 ,Post,day  ,control,0,230.2172852
F10 ,Post,day  ,control,0,287.793335
F10 ,Post,day  ,control,0,287.793335
F10 ,Post,day  ,control,0,287.793335
F10 ,Post,day  ,control,0,287.793335
F10 ,Post,day  ,control,0,287.793335
F10 ,Post,day  ,control,0,287.793335
F10 ,Post,day  ,control,0,125
F10 ,Post,day  ,control,0,207.9663391
F10 ,Post,day  ,control,0,481.3003235
F10 ,Post,day  ,control,0,279.3295593
F10 ,Post,day  ,control,0,137.2953033
F10 ,Post,night,control,0,161.0124207
F10 ,Post,night,control,0,281.5137634
F10 ,Post,night,control,0,207.9663391
F10 ,Post,night,control,0,280.4460754
F10 ,Post,night,control,0,221.359436
F10 ,Post,night,control,0,402.6164551
F10 ,Post,night,control,0,691.9898682
F10 ,Post,night,control,0,1134.383057
F10 ,Post,night,control,0,1380.153931
F10 ,Post,night,control,0,1567.498047
F10 ,Post,night,control,0,1346.476929
F12 ,Post,day  ,control,0,112.3610229
F12 ,Post,day  ,control,0,315.1586914
F12 ,Post,day  ,control,0,235.212677
F12 ,Post,day  ,control,0,147.6482239
F12 ,Post,day  ,control,0,185
F12 ,Post,day  ,control,0,232.6477966
F12 ,Post,day  ,control,0,232.6477966
F12 ,Post,day  ,control,0,207.9663391
F12 ,Post,day  ,control,0,163.7833862
F12 ,Post,day  ,control,0,98.4885788
F12 ,Post,day  ,control,0,134.5362396
F12 ,Post,day  ,control,0,134.5362396
F12 ,Post,day  ,control,0,134.5362396
F12 ,Post,day  ,control,0,134.5362396
F12 ,Post,day  ,control,0,183.9836884
F12 ,Post,day  ,control,0,268.5609741
F12 ,Post,day  ,control,0,735.8838501
F12 ,Post,day  ,control,0,1006.503845
F12 ,Post,day  ,control,0,1662.174805
F12 ,Post,day  ,control,0,1587.080688
F12 ,Post,night,control,0,1587.025513
F12 ,Post,night,control,0,1939.613403
F12 ,Post,night,control,0,2198.829346
F12 ,Post,night,control,0,2219.842285
F12 ,Post,night,control,0,2207.221191
F12 ,Post,night,control,0,2199.23291
F13 ,Post,day  ,AC     ,0,195
F13 ,Post,day  ,AC     ,0,226.715683
F13 ,Post,day  ,AC     ,0,115
F13 ,Post,day  ,AC     ,0,190
F13 ,Post,day  ,AC     ,0,279.8660278
F13 ,Post,day  ,AC     ,0,249.8999786
F13 ,Post,day  ,AC     ,0,122.5765076
F13 ,Post,day  ,AC     ,0,197.0406036
F13 ,Post,day  ,AC     ,0,195
F13 ,Post,day  ,AC     ,0,195
F13 ,Post,day  ,AC     ,0,226.715683
F13 ,Post,day  ,AC     ,0,275
F13 ,Post,day  ,AC     ,0,215.6965485
F13 ,Post,day  ,AC     ,0,176.1391449
F13 ,Post,day  ,AC     ,0,270.7397156
F13 ,Post,day  ,AC     ,0,129.8075562
F13 ,Post,day  ,AC     ,0,111.8033981
F13 ,Post,night,AC     ,0,114.127121
M17 ,Post,day  ,AC     ,0,150.7481384
M17 ,Post,day  ,AC     ,0,126.1942978
M17 ,Post,day  ,AC     ,0,126.1942978
M17 ,Post,day  ,AC     ,0,126.1942978
M17 ,Post,day  ,AC     ,0,126.1942978
M21 ,Post,day  ,control,0,1765.962891
M21 ,Post,day  ,control,0,890.4212646
M21 ,Post,day  ,control,0,172.4093933
M21 ,Post,day  ,control,0,370.3039246
M21 ,Post,day  ,control,0,187.4166412
M21 ,Post,day  ,control,0,177.3414764
M21 ,Post,day  ,control,0,580.3447266
M21 ,Post,day  ,control,0,1035.193237
M21 ,Post,day  ,control,0,322.6840515
M21 ,Post,day  ,control,0,322.6840515
M21 ,Post,day  ,control,0,466.6904907
M21 ,Post,day  ,control,0,466.6904907
M21 ,Post,day  ,control,0,322.6840515
M21 ,Post,day  ,control,0,265.7536316
M21 ,Post,day  ,control,0,322.6840515
M21 ,Post,day  ,control,0,322.6840515
M21 ,Post,day  ,control,0,390.2883606
M21 ,Post,day  ,control,0,187.2164459
M21 ,Post,day  ,control,0,651.8051758
M21 ,Post,day  ,control,0,4124.018066
M21 ,Post,day  ,control,0,5392.348633
M21 ,Post,day  ,control,0,5864.38623
M21 ,Post,day  ,control,0,3468.302979
M21 ,Post,day  ,control,0,1899.736816
